iter	Passed	Remaining
0	141	141818
1	143	71420
2	143	47795
3	144	35956
4	145	28878
5	145	24143
6	146	20771
7	147	18258
8	147	16272
9	148	14692
10	149	13422
11	149	12340
12	150	11421
13	151	10640
14	151	9970
15	152	9392
16	153	8898
17	154	8437
18	155	8034
19	156	7655
20	156	7309
21	157	6994
22	157	6706
23	158	6441
24	158	6197
25	159	5972
26	159	5763
27	160	5572
28	161	5391
29	161	5222
30	162	5066
31	162	4920
32	163	4782
33	163	4651
34	164	4533
35	164	4417
36	165	4306
37	166	4209
38	167	4115
39	167	4028
40	168	3951
41	169	3869
42	170	3789
43	170	3712
44	171	3641
45	172	3571
46	172	3504
47	173	3440
48	174	3382
49	174	3323
50	175	3265
51	176	3210
52	176	3158
53	177	3111
54	178	3061
55	178	3013
56	179	2966
57	180	2925
58	180	2884
59	181	2845
60	182	2803
61	182	2763
62	183	2724
63	183	2687
64	184	2651
65	184	2615
66	185	2580
67	185	2547
68	186	2516
69	187	2486
70	187	2455
71	188	2425
72	188	2395
73	189	2367
74	189	2339
75	190	2312
76	190	2286
77	191	2261
78	191	2236
79	192	2212
80	192	2189
81	193	2167
82	193	2143
83	194	2122
84	195	2102
85	196	2083
86	196	2063
87	197	2043
88	197	2024
89	198	2005
90	198	1986
91	199	1968
92	200	1950
93	200	1932
94	201	1915
95	201	1898
96	202	1881
97	202	1864
98	203	1848
99	204	1837
100	204	1822
101	205	1807
102	205	1792
103	206	1778
104	206	1763
105	207	1749
106	207	1735
107	208	1723
108	209	1710
109	209	1698
110	210	1686
111	211	1674
112	211	1662
113	212	1650
114	212	1638
115	213	1626
116	213	1613
117	214	1602
118	214	1591
119	215	1579
120	215	1568
121	216	1556
122	216	1546
123	217	1535
124	217	1525
125	218	1515
126	218	1504
127	219	1494
128	220	1486
129	220	1476
130	221	1467
131	221	1458
132	223	1453
133	223	1445
134	224	1439
135	225	1431
136	226	1425
137	226	1417
138	227	1409
139	228	1402
140	228	1394
141	229	1385
142	229	1377
143	230	1371
144	231	1363
145	231	1356
146	232	1348
147	232	1340
148	233	1332
149	233	1325
150	234	1318
151	234	1310
152	235	1304
153	236	1297
154	236	1290
155	237	1283
156	237	1277
157	238	1270
158	239	1264
159	239	1258
160	240	1252
161	240	1246
162	241	1239
163	241	1233
164	242	1226
165	242	1220
166	243	1214
167	244	1208
168	244	1202
169	245	1196
170	245	1190
171	246	1184
172	246	1178
173	247	1173
174	247	1167
175	248	1162
176	248	1156
177	249	1150
178	250	1146
179	250	1141
180	251	1136
181	251	1130
182	252	1125
183	252	1120
184	253	1115
185	253	1110
186	254	1106
187	255	1101
188	255	1097
189	256	1092
190	256	1087
191	257	1083
192	257	1078
193	258	1073
194	258	1069
195	259	1064
196	260	1059
197	260	1055
198	261	1050
199	261	1046
200	262	1041
201	262	1037
202	263	1033
203	263	1028
204	264	1024
205	264	1020
206	265	1016
207	266	1013
208	266	1009
209	267	1005
210	267	1001
211	268	997
212	269	994
213	269	991
214	270	987
215	270	983
216	271	979
217	272	975
218	272	971
219	273	968
220	273	964
221	274	961
222	274	958
223	275	954
224	276	951
225	276	947
226	277	944
227	278	941
228	278	938
229	279	934
230	279	931
231	280	929
232	281	925
233	281	921
234	282	918
235	282	915
236	283	913
237	284	910
238	285	907
239	285	904
240	286	901
241	287	899
242	287	895
243	288	892
244	288	889
245	289	886
246	289	883
247	290	879
248	290	876
249	291	874
250	292	871
251	292	868
252	293	866
253	293	863
254	294	860
255	295	858
256	295	855
257	296	852
258	297	851
259	299	853
260	300	851
261	301	848
262	301	845
263	302	842
264	302	839
265	303	837
266	303	834
267	304	831
268	305	829
269	305	826
270	306	824
271	307	821
272	307	819
273	308	816
274	308	814
275	309	811
276	310	809
277	310	807
278	311	804
279	312	802
280	312	800
281	313	798
282	314	796
283	314	793
284	315	791
285	316	789
286	316	786
287	317	784
288	317	781
289	318	779
290	318	777
291	319	775
292	320	773
293	321	771
294	321	768
295	322	766
296	322	763
297	323	761
298	323	759
299	324	756
300	324	754
301	325	751
302	325	749
303	326	747
304	326	745
305	327	742
306	328	740
307	329	739
308	330	738
309	330	735
310	331	733
311	331	731
312	332	728
313	332	726
314	333	724
315	333	722
316	334	721
317	335	719
318	336	717
319	336	715
320	337	713
321	338	711
322	338	710
323	339	708
324	339	706
325	340	703
326	341	702
327	341	700
328	342	698
329	343	697
